Category,Question,Answer,Tags
Academic Doubts,Which staining pattern is associated with ADA-SCID?,ADA-SCID shows T-cell and NK-cell deficiency with preserved B-cells.,"immunodeficiency, ada, scid"
Academic Doubts,Which breast cancer subtype was NOT triple negative?,Secretory carcinoma is the only triple-negative among listed subtypes.,"breast cancer, subtype, secretory"
Academic Doubts,Which mutation function is BRCA1 associated with?,BRCA1 is involved in DNA repair.,"brca1, dna repair"
Academic Doubts,What are the staging classifications for oral and colon cancer?,Oral cancer: T2N1b. Colon cancer: C2.,"staging, oral cancer, colon cancer"
Access Issues,Can I use the course on all devices?,"Yes, the course is compatible with all browsers and devices including laptops, tablets, and smartphones.","devices, compatibility"
Access Issues,How do I access the course sessions?,You can access sessions through the course link shared via email. Please check your inbox and spam folder.,"access, login, sessions"
Access Issues,What is my username?,Your email ID is your username.,"login, username"
Access Issues,What is my password?,Please click on ‘Forgot Password’ on the login page and set a new one.,"login, password reset"
Access Issues,I am not able to upload my answers. What should I do?,Please share your answer script with us. We will upload it for you.,"upload, help, answers"
Access Issues,Can I listen to the recorded sessions after the course ends?,Recordings are available until your course access expires. We can extend it until your exam date if required.,"recordings, access"
Access Issues,Will I have access to the old PPTs after course expiry?,"Yes, you can download the PPTs from the platform before your course ends.","ppt, access, download"
Access Issues,How do I access my course?,You can access your course through the User Dashboard after logging into your account on our website.,"login, access, user dashboard"
Access Issues,I created an account but cannot log in. What should I do?,"Please try restarting your device or using a different browser. If the issue persists, clear cookies and cache or try another device.","login issues, device problem"
Access Issues,Can I access the course on multiple devices?,"Yes, our courses can be accessed on any device using your registered email ID.","multi-device, access"
Access Issues,Will I get access till the NEET SS exam if I pay for 3 months?,"Yes, your access will be extended till 30th March, which covers your exam duration.","course extension, payment"
Access Issues,Why am I unable to access my course content?,Please ensure you are using the correct login credentials or contact us for assistance.,"Access, Login Issues"
Access Issues,I can't access certain topics.,Please let us know which topic you are facing issues with. We’ll resolve it as soon as possible.,"access issue, topic not loading"
Access Issues,I’ve enrolled but can’t find the program.,Please refresh the dashboard or wait if there is scheduled maintenance.,"program access, issue"
Access Issues,I recovered my password. What do I do next?,"Great! Now login and go to ""My Courses"" to start learning.",#account #login
Access Issues,I’ve tried logging in for a week but email never comes.,We apologize for the inconvenience. We will manually verify your account and provide an alternate login if required.,"persistent login issue, manual access"
Access Issues,Why is the course locked for me after purchase?,The course may be locked due to expiry. Please renew it to access the materials again.,"Account, Access"
Access Issues,My 6-month course expired. Can I renew it?,"Yes, renewal is available. Let us know if you'd like to proceed and we'll guide you through the process.","renewal, course-expiry"
Access Issues,I am unable to log in to my account. What should I do?,"Please use the ""Forgot Password"" option, or contact support for assistance.","Account, Login Issues"
Access Issues,What should I do if I haven't received the password reset email?,Please check your spam folder or contact support if the link is not received.,"Account, Login Issues"
Access Issues,I forgot my login details. What should I do?,Please use the “Forgot Password” option on the login page or contact support.,"account help, forgot password"
Access Issues,Do I need to update you after registration?,"Yes, please inform us once you have registered so we can activate your access.",#registration #support
Additional Support,Will I get personal guidance if I’m stuck during preparation?,"Yes, the faculty is available via WhatsApp and group sessions for ongoing doubts and mentorship.","personal guidance, mentorship"
App Access,Is there any app available for the course?,"Currently, we do not have an app. You can access the course via the web platform.",#app #platform
Availability,Can I access recordings if I miss a live session?,"Yes, all sessions are recorded and available for 1 year for flexible access.","recordings, access, live sessions"
Batch Start Date,When do the FRCPath Part 2 classes start?,The batch starts in the first week of January.,"FRCPath Part 2, start date"
Book Availability,Is the soft copy available for this book?,"Yes, the soft copy is available on Amazon Kindle.",#softcopy #books #kindle
Book Availability,Do you have the hard copy of the Histopath MCQ book?,"Yes, the hard copy of Histopathology notes is available. You can order it here: [link]",#hardcopy #histopathology #books
Book Comparison,What’s the difference between Histopathology Vol 1-2 and the flashcards?,Flashcards are supplementary to the books and are provided free with the histopathology book volumes.,"books, flashcards, comparison"
Book Info,Is cytology book available?,"Yes, the Cytopathology book is available. You can check and order it using this link: [link]","cytology, book info"
Book Info,Do you have histotechniques?,Yes! The Histotechniques Notes are available and come with free shipping and ongoing discounts.,"histotechniques, book info"
Book Orders,I ordered the General Pathology notes. When will I receive it?,Your General Pathology book is being processed and should reach you within 7 working days.,"delivery, book order, delay"
Book Orders,Why is my General Pathology book delayed but other books arrived faster?,Some books were pre-printed while General Pathology is a new edition and is currently being printed.,"delivery, printing status"
Book Orders,Can I track my book shipment?,"Yes, tracking details will be shared with you once dispatched.","tracking, shipment"
Book Orders,Where is the book being printed?,"Printing location details are internal, but we ensure quality and timely delivery.","printing, book process"
Book Orders,When will I receive the courier?,You should receive the courier within 2–5 business days post dispatch.,"courier, delivery"
Book Recommendations,Which book is good for Histotechniques?,Bancroft is the recommended book for Histotechniques preparation.,"histotechniques, books"
Book Recommendations,Which book is good for Autopsy Pathology?,Please refer to the standard autopsy pathology textbook recommended in our course notes.,"autopsy, reference"
Book Recommendations,Is Sternberg or Ackerman necessary if I study Pathology Outlines?,Pathology Outlines is sufficient if revised thoroughly. But don't skip key topics and your revision notes.,"book strategy, outlines"
Book Recommendations,Is Robbins sufficient for non-neoplastic pathology?,"Yes, Robbins is a great resource for non-neoplastic pathology.","robbins, non-neoplastic"
Book Recommendations,Which book should I use for Cytopathology in 2 months?,Use Pranab Dey for tables and Orell for revision boxes. Stick to books you’ve already started for best results.,"cytopathology, books"
Books & Offers,Do you have any offers on cytology?,"Yes, Cytopathology is currently available at a discounted rate. You can also apply coupon code PATH30HISTO at checkout.","cytology, discounts"
Books & Offers,Is there any offer for hematology?,Hematopathology is already being offered at the maximum discounted rate. No additional coupons are applicable at the moment.,"hematology, discounts"
Books & Offers,Is the general pathology book available?,"Yes, the General Pathology book is available for pre-booking at a special launch price. Would you like the link?","general pathology, book availability"
Books & Resources,How can I buy your MCQ books?,"Books are available on Amazon and our website. For Kindle versions, please use the Kindle app.","MCQ books, purchase, Amazon"
Books & Resources,Are there hard copies available for Cytopathology?,"Yes, you can purchase the hard copy from our website here.","cytopath hard copy, book"
Bulk Orders/Queries,Can I get a combo offer if I purchase multiple books?,"Yes, we offer bundled discounts and coupons for bulk purchases. Let me know the titles you're interested in and I’ll prepare a custom offer.","bulk order, combo, discounts"
Class Feedback,How can I give feedback on the classes?,You can provide your feedback directly through WhatsApp or fill out the form available on your dashboard.,"feedback, review"
Class Schedule,When is the next session scheduled?,Session details are shared via WhatsApp and email. Please check for the latest updates.,"schedule, upcoming class"
Class Schedule,Is there any class on [insert date]?,Please check the schedule section in your dashboard or ask us directly for specific dates.,"class timing, calendar"
Class Schedule,Is the class topic for this Sunday unknown primary?,"Yes, topic confirmation will be shared at least a day before the session.","topic, confirmation"
Class Schedule,When is the next live class scheduled?,You will be notified of the next live class schedule via WhatsApp and email. The schedule is also updated on the website regularly.,"schedule, live class"
Class Schedule,Can I get an updated timetable of the classes?,"Yes, the updated class timetable will be shared with you shortly via WhatsApp or uploaded on the website.","timetable, class schedule"
Class Schedule,Will there be any additional sessions during the week?,"Yes, additional weekday sessions may be organized closer to the exam. You’ll be informed in advance.","extra class, makeup session"
Clinical Pathology,How can I differentiate EMA vs. E-cadherin staining in micropapillary breast cancer?,"EMA shows apical staining indicating reversal of polarity, while Her-2 shows basolateral staining. E-cadherin can be used in combination for diagnosis.","Micropapillary Breast CA, Staining"
Clinical Pathology,Is E-cadherin an important marker for diagnosing micropapillary breast cancer?,"E-cadherin is useful, but micropapillary carcinoma is often distinct in histomorphology, and IHC is rarely needed for confirmation.","Micropapillary Breast CA, Staining"
Clinical Pathology,What is the significance of reversal of polarity in micropapillary carcinoma?,"Reversal of polarity refers to nuclei being arranged towards the lumen instead of away from it, which is characteristic of micropapillary carcinoma.","Micropapillary Breast CA, Diagnosis"
Clinical Pathology,What does Darier's phenomenon indicate?,Darier's phenomenon is associated with mastocytosis or urticaria pigmentosa.,"Dermatology, Mastocytosis"
Clinical Pathology,Can you explain the histology of glioma?,"Glioma vs. gliosis can be challenging, and understanding the normal histology of glial cells can help with identifying tumor types.","Glioma, Histology"
Clinical Pathology,Can a small sample of fluid in cytology be reported as inadequate?,"If malignancy is confirmed from a small sample, inadequacy would not be reported. However, if no diagnosis is made, inadequacy due to insufficient sample may be reported.","Cytology, Sample Inadequacy"
Clinical Pathology,Should we repeat a sample if malignancy is detected in a small fluid sample?,"No, there is no need for repetition if malignancy is confirmed. However, if cells cannot be identified or the sample is atypical, it can be reported as inadequate.","Cytology, Sample Management"
Clinical Pathology,What is the diagnosis for a case showing adenocarcinoma-like features?,The diagnosis is SMILE (Adenocarcinoma in situ).,"Adenocarcinoma, Diagnosis"
Clinical Pathology,Can you provide guidance on the DHA examination for pathologists?,We can provide some information and resources regarding the DHA exam. Give me a moment to share the details.,"DHA Exam, Pathology Certification"
Community Access,Why are there more people in the class than in the WhatsApp group?,That class was publicly shared for open attendance. Regular classes are restricted to paid users only.,"group access, security"
Community Access,Please ensure only paid users can access future classes.,Noted. We will ensure upcoming sessions are accessible only to enrolled students.,"access control, paid only"
Competitor Comparison,How is this course different from Dr Maitreyi’s?,"Our course includes live teaching, mocks, slide discussion, OSPE, and full coverage, unlike Dr Maitreyi’s which is revision-focused and lacks mocks.","comparison, competitors"
Confirmation Delay,I’ve paid but didn’t get any email.,"Please wait a few minutes. If not received, we’ll share the confirmation manually.","confirmation delay, payment issue"
Contact Support,Can I talk over the phone for queries?,"Yes, feel free to call us on the same WhatsApp number.","contact, phone call"
Contact Update,Can I update my phone number for courier?,"Yes, please share the updated contact details.","update, number, courier"
Content Access,What all content is included in the ?15000 bundle?,"It includes full video lectures, MCQs, mocks, 6 hard copy books, and 1-year access.",#completepackage #contentdetails
Content Availability,4. Will more content be uploaded for the Histotechniques topic?,"No, no more material will be uploaded for Histotechniques. Please review from notes and Bancroft.","Content Availability, Histotechniques"
Content Clarification,7. Why is small cell change in dysplastic nodules not considered the same as high-grade dysplasia?,Small cell change is observed in high-grade dysplasia but is not considered the same as high-grade dysplastic nodules.,"Content Clarification, Dysplasia"
Content Clarification,8. Can you explain why small cell change is seen in high-grade dysplastic nodules but not low-grade ones?,"Small cell changes are specific to high-grade dysplasia, which has a higher likelihood of progressing to HCC.","Content Clarification, Dysplasia"
Content Clarification,20. Can you share a list of bone lesions and their molecular alterations?,"Yes, I will share the link with you for bone lesions and corresponding molecular alterations.","Content Clarification, Bone Lesions"
Content Clarification,22. Could you clarify why some content in neuropathology is repetitive?,Thank you for pointing that out. We will review and make necessary corrections to avoid redundancy.,"Content Clarification, Neuropathology"
Content Clarification,26. Can you explain the latest classification of dysplastic nodules in liver pathology?,"The latest classification for dysplastic nodules includes low-grade and high-grade categories, with high-grade having a higher risk of progression to HCC.","Content Clarification, Pathology"
Content Clarification,28. What is the difference between small cell change in dysplastic nodules and small cell HCC?,"Small cell change is seen in high-grade dysplasia, which is precancerous, while small cell HCC refers to a type of hepatocellular carcinoma with small cell features.","Content Clarification, Liver Pathology"
Content Clarification,Is DICER1 mutation found in CPDN?,"No, CPDN does not harbor DICER1 mutations. Only pediatric cystic nephromas do.",#dicer1 #mcqexplanation
Content Clarification,Is the answer to Question 7 correct?,We can help verify question-wise answers. Please share the question and choices.,#answercheck #mcqhelp
Content Duration,Will video lectures be available for one year?,"Yes, all video lectures are available online for 1 year from the date of enrollment.",#videolectures #accessduration
Content Request,Can you provide a download option for notes?,"Yes, we’ll enable the download option for your requested topic shortly.",#notes #download
Content Request,Can I get sample case reports?,"Yes, sample case reports are shared during the case-based discussion sessions.",#cases #samples
Content Type,Will I get both hard copy and online access?,"Yes, in our complete packages, you receive both hard copies and online access to course materials.","combo, online + hard copy"
Content Update,18. Will you be adding more pictures and diagrams in the Q-bank?,"Yes, we are working on adding more images and diagrams in the Q-bank.","Content Update, Visuals"
Coupon Issues,Why is the coupon not working?,The coupon may have expired or is valid for one-time use only. Please share the code you’re trying and I’ll check for an alternative.,"coupon, issues"
Coupon/Discounts,Is there a coupon code for the Oncopathology course?,"Yes, use code PATH10HISTO for a 10% discount.","coupon, oncopathology, discount"
Coupon/Discounts,Is the coupon valid for the 3-month plan?,"Yes, the coupon is valid for 3-month, 6-month, and 12-month plans.","coupon, plans, validity"
Courier Error,Courier couldn’t reach me.,Kindly share alternate contact numbers for reshipment.,"courier, contact issue"
Course & Subscription,How can I know when my course is expiring?,"Please provide your email ID, and we'll share your course expiry date.","Course Expiry, User Info"
Course & Subscription,How can I extend my course expiry date?,Course expiry can be extended till your exam date. Please contact us with your exam date for extension.,Course Extension
Course Access,1. Will the FRCPATH Pathology test link remain available after tomorrow?,The FRCPATH quiz will be accessible in the FRCPATH course section after tomorrow.,"FRCPATH, Course Access"
Course Access,How do I access the course content online?,You can access the content by logging in on our website with your registered ID and password.,"Access, Online Course"
Course Access,How do I access the course content after payment?,You can access your course by logging into https://pathologymcq.com/courses/.,#access #course
Course Access,I can't see the notes for a topic. What should I do?,"Please try refreshing the page. If the issue persists, let us know the topic name and we’ll assist.",#notes #support
Course Access,Where can I find the video lectures?,Video lectures are listed towards the end of each chapter in the course.,#video #lectures
Course Access,I forgot my password. How can I reset it?,You can reset your password at https://pathologymcq.com/my-account/.,#login #password
Course Access,I have enrolled but haven’t received the course link.,Here is your course access link: https://pathologymcq.com/courses/neet-ss-dm-oncopathology-course/,#enrollment #accesslink
Course Access,The website is down. When can I access it again?,We are resolving the issue. The website will be back up shortly and we’ll notify you as soon as it’s accessible.,"access, website-issues"
Course Access,My course has expired. Can I renew it?,"Yes, you can renew it. Use code SPECIAL20 for a discount. Visit our renewal link to proceed.","renewal, subscription"
Course Access,Can I access past lectures or recordings if I miss a live session?,"Yes, recordings of live lectures are available within the course modules.","live-class, recordings"
Course Access,I want to join your WhatsApp/Telegram groups.,"Sure! Join via these links: Telegram - [link], WhatsApp - [link]","community, group access"
Course Access,How do I access the course after payment?,"Please register at www.pathologymcq.com/register. Once registered, you will receive an access link via email.","access, registration, login"
Course Access,I’ve paid but haven’t received access yet. What should I do?,"Please ensure you have completed registration. Once done, access will be granted. If you're still facing issues, reply here or call us at 78258 90222.","access, delay, payment"
Course Access,Can I access courses online or offline?,All our courses are available online. You can log in anytime using your registered credentials.,"online, access, login"
Course Access,How do I access the course materials after a class?,Login to your dashboard on the PathologyMCQ website to view or download class recordings and PDFs.,"access, dashboard"
Course Access,I’m unable to view the video lectures.,Please try changing your browser and ensure you have a stable internet connection.,"video issue, browser, troubleshooting"
Course Access,My video lecture slides are stuck. What should I do?,"Kindly change the browser or refresh the page. If issue persists, share a screenshot for support.","slides stuck, technical issue, support"
Course Access & Expiry,When does my course access expire?,Course access typically lasts for 6 months unless extended. Please check your course details or contact us for clarification.,"access expiry, duration"
Course Access & Expiry,Can I extend my course access?,"Yes, you can extend your access. Use the coupon code “PATHOLOGY20” or contact us for a personalized renewal discount.","extend course, renewal, discount"
Course Access & Expiry,I want to extend my oncopathology subscription.,"Please use the coupon code ""PATHOLOGY20"" to renew your subscription with a discount.","oncopathology, extension, renewal"
Course Assistance,How can I get help if I have trouble accessing course materials?,"Please contact us, and we will assist you in accessing the course materials.","Assistance, Access"
Course Availability,Is the FRCPath Part 2 course open for enrollment now?,"Yes, the FRCPath Part 2 course is currently open for enrollment. Please follow the provided link to join.","Course, FRCPath"
Course Availability,How do I access the online FRCPath course?,You can access the FRCPath course by logging into the website with your ID and password. A link will be sent to you upon enrollment.,"Course, FRCPath"
Course Availability,Do you have a soft copy of the Cytology notes?,"Currently, we only have the hard copy of the Cytology notes. You can order them via our website.","Course, Notes, Cytology"
Course Availability,Can you ship the hard copy notes to Saudi Arabia?,"Yes, we can ship the hard copy notes to Saudi Arabia without any issues.","Shipping, Notes, International"
Course Availability,How do I order the hard copy notes?,You can order the hard copy notes from our website through the provided link.,"Shipping, Notes"
Course Availability,What is included in the FRCPath course package?,"The course includes video lectures, mock exams, study materials, and live discussions, all focused on exam preparation.","Course, FRCPath"
Course Content,Will I receive notes for the topics taught in the course?,"Yes, you will receive notes for the specific topics covered in the course if you purchase the notes separately.","Course, Notes"
Course Content,Are videos available for previous topics?,"Yes, all previous topics are available in the course.",Course Content
Course Content,Where can I find videos for the breast unit?,"Videos for the breast unit are not available yet. They may be available under related topics like uterus, salivary gland tumors, CNS intro, B-cell lymphoma.","Video Access, Breast Pathology"
Course Content,Are lecture videos available for all systems?,"No, lecture videos are not available for all systems.","Video Access, Course Content"
Course Content,Can you add me to the WhatsApp group for the course?,The group link will be shared with you.,"WhatsApp Group, Course Access"
